,TID,CN,TW,EN,ES,RU,PO,DE,KR,JP,FR,IT,AR,TR,IN,
161,Anita's Dance,安妮塔舞曲,安妮塔舞曲,Anita's Dance,Anita's Dance,Anita's Dance,Anita's Dance,Anita's Dance,아니트라의춤,Anita's Dance,Anita's Dance,Anita's Dance,رقص أنيتا,Anita's Dance,Anita's Dance,9
162,Chanson Triste Op.40 No.2,悲歌,悲歌,Chanson Triste Op.40 No.2,Chanson Triste Op.40 No.2,Chanson Triste Оп. 40 №2,Chanson Triste Op.40 No.2,Chanson Triste Op.40 Nr.2,슬픈노래 Op.40 No.2,Chanson Triste Op.40 No.2,Chanson Triste Op.40 No.2,Chanson Triste Op.40 No.2,جانغسيونغ تريست No.2 Op.40,Chanson Triste Op.40 No.2,Chanson Triste Op.40 No.2,26
163,La Serenata,天使小夜曲,天使小夜曲,La Serenata,La Serenata,Серенада,La Serenata,La Serenata,천사의 세레나데,La Serenata,La Serenata,La Serenata,لحن غرامي,La Serenata,La Serenata,9
164,Valse Op.83 No.1,圆舞曲 Op.83 No.1,圓舞曲 Op.83 No.1,Valse Op.83 No.1,Valse Op.83 No.1,Вальс Оп. 83 №1,Valse Op.83 No.1,Valse Op.83 Nr.1,왈츠 Op.83 No.1,Valse Op.83 No.1,Valse Op.83 No.1,Valse Op.83 No.1,الفالس No.1 Op.83,Valse Op.83 No.1,Valse Op.83 No.1,17
165,Le Coucou,布谷鸟,布穀鳥,Le Coucou,Le Coucou,Le Coucou,Le Coucou,Le Coucou,뻐꾸기,Le Coucou,Le Coucou,Le Coucou,الوقواق,Le Coucou,Le Coucou,7
166,Gavotte from Op.183 No.1,加沃特 Op.183 No.1,加沃特 Op.183 No.1,Gavotte from Op.183 No.1,Gavotte from Op.183 No.1,Гавот Оп. 183 №1,Gavotte from Op.183 No.1,Gavotte from Op.183 Nr.1,가보트Op.183 No.1,Gavotte from Op.183 No.1,Gavotte from Op.183 No.1,Gavotte from Op.183 No.1,رقصة الغافوتية No.1 Op.183,Gavotte from Op.183 No.1,Gavotte from Op.183 No.1,26
167,Courante HWV 440,库朗特 HWV 440,庫朗特 HWV 440,Courante HWV 440,Courante HWV 440,Куранта HWV 440,Courante HWV 440,Courante HWV 440,쿠랑트HWV 440,Courante HWV 440,Courante HWV 440,Courante HWV 440,التيار HWV440,Courante HWV 440,Courante HWV 440,13
168,The Laughing Song,笑之歌,笑之歌,The Laughing Song,The Laughing Song,The Laughing Song,The Laughing Song,The Laughing Song,"웃음의 노래",The Laughing Song,The Laughing Song,The Laughing Song,أغنية الضحك,The Laughing Song,The Laughing Song,11
169,Sonata in d minor K.9,d小调奏鸣曲 K.9,d小調奏鳴曲 K.9,Sonata in d minor K.9,Sonata in d minor K.9,Соната ре минор К9,Sonata in d minor K.9,Sonata in d Moll K.9,"소나타 D 단조 K.9",Sonata in d minor K.9,Sonata in d minor K.9,Sonata in d minor K.9,سوناتا في سلم ري الصغير K.9,Sonata in d minor K.9,Sonata in d minor K.9,27
170,Serenata Op.15 No.1,小夜曲 Op.15 No.1,小夜曲 Op.15 No.1,Serenata Op.15 No.1,Serenata Op.15 No.1,Серенада Оп. 15 №1,Serenata Op.15 No.1,Serenata Op.15 No.1,세레나타 Op.15 No.1,Serenata Op.15 No.1,Serenata Op.15 No.1,Serenata Op.15 No.1,اللحن الغرامي No.1 Op.15,Serenata Op.15 No.1,Serenata Op.15 No.1,24
171,Waltz in E flat Op.18 No.1,降E大调圆舞曲,降E大調圓舞曲,Waltz in E flat Op.18 No.1,Waltz in E flat Op.18 No.1,Вальс ми-бемоль Оп.18 №1,Waltz in E flat Op.18 No.1,Waltz in E flat Op.18 Nr.1,"왈츠 E플렛 Op.18 No.1",Waltz in E flat Op.18 No.1,Waltz in E flat Op.18 No.1,Waltz in E flat Op.18 No.1,فالس في سلم مي منخفض الكبير,Waltz in E flat Op.18 No.1,Waltz in E flat Op.18 No.1,27
172,Murmuring Brook,汩汩的溪水,汩汩的溪水,Murmuring Brook,Murmuring Brook,Murmuring Brook,Murmuring Brook,Murmuring Brook,시냇물의속삭임,Murmuring Brook,Murmuring Brook,Murmuring Brook,همهمة النهر,Murmuring Brook,Murmuring Brook,11
173,La Candeur Op.100 No.1,天真淳朴,天真淳樸,La Candeur Op.100 No.1,La Candeur Op.100 No.1,La Candeur Оп.100 №1,La Candeur Op.100 No.1,La Candeur Op.100 No.1,순진한마음,La Candeur Op.100 No.1,La Candeur Op.100 No.1,La Candeur Op.100 No.1,الصراحة No.1 Op.100,La Candeur Op.100 No.1,La Candeur Op.100 No.1,19
174,Sunflower Slow Drag,太阳花轻轻摇曳,太陽花輕輕搖曳,Sunflower Slow Drag,Sunflower Slow Drag,Sunflower Slow Drag,Sunflower Slow Drag,Sunflower Slow Drag,해바라기의 춤,Sunflower Slow Drag,Sunflower Slow Drag,Sunflower Slow Drag,سحب بطيء لعباد الشمس,Sunflower Slow Drag,Sunflower Slow Drag,20
175,Gavotte from Mignon,迷娘-加沃特舞曲,迷孃 - 加沃特舞曲,Gavotte from Mignon,Gavotte from Mignon,Гавот из оперы «Mignon»,Gavotte from Mignon,Gavotte from Mignon,미뇽의가보트,Gavotte from Mignon,Gavotte from Mignon,Gavotte from Mignon,الرقصة الفرنسية من مغنون,Gavotte from Mignon,Gavotte from Mignon,24
176,A Concert Waltz,音乐会华尔兹,音樂會華爾茲,A Concert Waltz,A Concert Waltz,Последний вальс,A Concert Waltz,A Concert Waltz,콘서트 왈츠,A Concert Waltz,A Concert Waltz,A Concert Waltz,فالس الحفلة,A Concert Waltz,A Concert Waltz,11
177,The Song of the Robin,知更鸟之歌,知更鳥之歌,The Song of the Robin,The Song of the Robin,The Song of the Robin,The Song of the Robin,The Song of the Robin,로빈의 노래,The Song of the Robin,The Song of the Robin,The Song of the Robin,أغنية روبن,The Song of the Robin,The Song of the Robin,10
178,Entr'acte-Gavotte Op.13,加沃特间奏曲,加沃特間奏曲,Entr'acte-Gavotte Op.13,Entr'acte-Gavotte Op.13,Entr'acte-Gavotte Оп.13,Entr'acte-Gavotte Op.13,Entr'acte-Gavotte Op.13,가보트 간주곡 Op.13,Entr'acte-Gavotte Op.13,Entr'acte-Gavotte Op.13,Entr'acte-Gavotte Op.13,فاصل-الرقصة الفرنسية Op.13,Entr'acte-Gavotte Op.13,Entr'acte-Gavotte Op.13,26
179,The Easy Winners,轻松的胜利者,輕鬆的勝利者,The Easy Winners,The Easy Winners,The Easy Winners,The Easy Winners,The Easy Winners,The Easy Winners,The Easy Winners,The Easy Winners,The Easy Winners,الفائزون بسهولة,The Easy Winners,The Easy Winners,15
180,Sylvia-Pizzicato,西尔维亚-拨奏,西爾維亞-撥奏,Sylvia-Pizzicato,Sylvia-Pizzicato,Пиццикато из балета «Сильвия»,Sylvia-Pizzicato,Sylvia-Pizzicato,실비아-피치카토,Sylvia-Pizzicato,Sylvia-Pizzicato,Sylvia-Pizzicato,طريقة عزف الكمان من سيلفيا,Sylvia-Pizzicato,Sylvia-Pizzicato,26
181,Gypsies Op.138 No.19,吉普赛人 Op.138 No.19,吉普賽人 Op.138 No.19,Gypsies Op.138 No.19,Gypsies Op.138 No.19,Цыгане оп.138 ном. 19,Gypsies Op.138 No.19,Gypsies Op.138 No.19,집시 Op.138 No.19,Gypsies Op.138 No.19,Gypsies Op.138 No.19,Gypsies Op.138 No.19,No.19 Op.138 الغجر,Gypsies Op.138 No.19,Gypsies Op.138 No.19,18
182,A Real Slow Drag,慢步舞,慢步舞,A Real Slow Drag,A Real Slow Drag,A Real Slow Drag,A Real Slow Drag,A Real Slow Drag,A Real Slow Drag,A Real Slow Drag,A Real Slow Drag,A Real Slow Drag,السحب الحقيقي البطيء,A Real Slow Drag,A Real Slow Drag,20
183,Cello Suite No.1 in G,无伴奏大提琴组曲 No.1,無伴奏大提琴組曲 No.1,Cello Suite No.1 in G,Cello Suite No.1 in G,Сюит для виолончели №1,Cello Suite No.1 in G,Cello Suite No.1 in G,첼로 모음곡 1번 G장조,Cello Suite No.1 in G,Cello Suite No.1 in G,Cello Suite No.1 in G,Cello Suite No.1 in G,Cello Suite No.1 in G,Cello Suite No.1 in G,21
184,Sonata in E Major K.20,E大调奏鸣曲 K.20,E大調奏鳴曲 K.20,Sonata in E Major K.20,Sonata in E Major K.20,Соната ми мадор К20,Sonata in E Major K.20,Sonata in E Major K.20,소나타 E장조 K.20,Sonata in E Major K.20,Sonata in E Major K.20,Sonata in E Major K.20,سوناتا في سلم مي الكبير K.20,Sonata in E Major K.20,Sonata in E Major K.20,28
185,Coppelia-Waltz,葛蓓莉亚华尔兹,葛蓓莉亞華爾茲,Coppelia-Waltz,Coppelia-Waltz,"""Коппелия"" - вальс",Coppelia-Waltz,Coppelia-Waltz,사랑의 왈츠,Coppelia-Waltz,Coppelia-Waltz,Coppelia-Waltz,coppelia الفالس,Coppelia-Waltz,Coppelia-Waltz,15
186,Two Part Invention No.8,二部创意 No.8,二部創意 No.8,Two Part Invention No.8,Two Part Invention No.8,Two Part Invention No.8,Two Part Invention No.8,Two Part Invention No.8,바흐 2성 인벤션 No.8,Two Part Invention No.8,Two Part Invention No.8,Two Part Invention No.8,الجزء الثاني لاختراعات No.8,Two Part Invention No.8,Two Part Invention No.8,27
187,Petite Valse Op.10 No.2,小圆舞曲 Op.10 No.2,小圓舞曲 Op.10 No.2,Petite Valse Op.10 No.2,Petite Valse Op.10 No.2,Миниаютрный вальс оп.10 ном.2,Petite Valse Op.10 No.2,Petite Valse Op.10 No.2,작은 왈츠 Op.10 No.2,Petite Valse Op.10 No.2,Petite Valse Op.10 No.2,Petite Valse Op.10 No.2,الفالس الصغير No.2 Op.10,Petite Valse Op.10 No.2,Petite Valse Op.10 No.2,24
188,Canzonetta,小坎左纳,小坎左納,Canzonetta,Canzonetta,Канцонетта,Canzonetta,Canzonetta,칸초네타,Canzonetta,Canzonetta,Canzonetta,Canzonetta,Canzonetta,Canzonetta,10
189,Hungarian Dance No.7,匈牙利舞曲 No.7,匈牙利舞曲 No.7,Hungarian Dance No.7,Hungarian Dance No.7,Венгерский танец № 7,Hungarian Dance No.7,Hungarian Dance No.7,헝가리언 댄스 No.7,Hungarian Dance No.7,Hungarian Dance No.7,Hungarian Dance No.7,الرقصة الهنغارية No.7,Hungarian Dance No.7,Hungarian Dance No.7,21
190,Thine Alone Op.54,独自一人,獨自一人,Thine Alone Op.54,Thine Alone Op.54,Только твой оп.54,Thine Alone Op.54,Thine Alone Op.54,다인 어롱 Op.54,Thine Alone Op.54,Thine Alone Op.54,Thine Alone Op.54,Op.54 ملكك وحدك,Thine Alone Op.54,Thine Alone Op.54,15
191,Something Doing,百无聊赖,百無聊賴,Something Doing,Something Doing,Что-то делать,Something Doing,Something Doing,Something Doing,Something Doing,Something Doing,Something Doing,شيء ما يفعل,Süren Bir Şey,Something Doing,11
192,Sonatina Op.20 No.1 Mvt.3,小奏鸣曲 Op.20 No.1,小奏鳴曲 Op.20 No.1,Sonatina Op.20 No.1 Mvt.3,Sonatina Op.20 No.1 Mvt.3,Сонатина Op.20 No.1 Mvt.3,Sonatina Op.20 No.1 Mvt.3,Sonatina Op.20 Nr.1 Mvt.3,소나티네 Op.20 No.1 Mvt.3,Sonatina Op.20 No.1 Mvt.3,Sonatina Op.20 No.1 Mvt.3,Sonatina Op.20 No.1 Mvt.3,السوناتينا Mvt.3 No.1 Op.20,Sonatina Op.20 No.1 Mvt.3,Sonatina Op.20 No.1 Mvt.3,27
193,Suite BWV 1012-3.Courante,无伴奏大提琴组曲-库朗特,無伴奏大提琴組曲-庫朗特,Suite BWV 1012-3.Courante,Suite BWV 1012-3.Courante,Suite BWV 1012-3.Courante,Suite BWV 1012-3.Courante,Suite BWV 1012-3.Courante,모음곡 BWV 1012-3.쿠랑트,Suite BWV 1012-3.Courante,Suite BWV 1012-3.Courante,Suite BWV 1012-3.Courante,Suite BWV 1012-3.Courante,Suite BWV 1012-3.Courante,Suite BWV 1012-3.Courante,25
194,The Parade Of The Tin Soldiers,玩具兵进行曲,玩具兵進行曲,The Parade Of The Tin Soldiers,The Parade Of The Tin Soldiers,Парад оловянных солдатиков,The Parade Of The Tin Soldiers,The Parade Of The Tin Soldiers,장난감 병정,The Parade Of The Tin Soldiers,The Parade Of The Tin Soldiers,The Parade Of The Tin Soldiers,موكب الجنود الألعاب,The Parade Of The Tin Soldiers,The Parade Of The Tin Soldiers,19
195,Lieder Op.52 No.7,旅行者之歌,旅行者之歌,Lieder Op.52 No.7,Lieder Op.52 No.7,Lieder Op.52 No.7,Lieder Op.52 No.7,Lieder Op.52 Nr.7,가곡 Op.52 No.7,Lieder Op.52 No.7,Lieder Op.52 No.7,Lieder Op.52 No.7,No.7 Op.52 أغاني,Lieder Op.52 No.7,Lieder Op.52 No.7,16
196,Entry Of The Gladiators,角斗士入场进行曲,角斗士入場進行曲,Entry Of The Gladiators,Entry Of The Gladiators,Вступление гладиаторов,Entry Of The Gladiators,Entry Of The Gladiators,검투사의 입장,Entry Of The Gladiators,Entry Of The Gladiators,Entry Of The Gladiators,دخول المصارعين,Entry Of The Gladiators,Entry Of The Gladiators,14
197,Swipesy Cakewalk,淡啤酒步态舞,淡啤酒步態舞,Swipesy Cakewalk,Swipesy Cakewalk,Swipesy Cakewalk,Swipesy Cakewalk,Swipesy Cakewalk,스윕페시 케이크워크,Swipesy Cakewalk,Swipesy Cakewalk,Swipesy Cakewalk,رقصة الكعكة,Swipesy Cakewalk,Swipesy Cakewalk,11
198,Polka Op.39 No.14,波尔卡舞曲 Op.39 No.14,波爾卡舞曲 Op.39 No.14,Polka Op.39 No.14,Polka Op.39 No.14,Полька Op.39 No.14,Polka Op.39 No.14,Polka Op.39 Nr.14,폴카 Op.39 No.14,Polka Op.39 No.14,Polka Op.39 No.14,Polka Op.39 No.14,البولكا No.14 Op.39,Polka Op.39 No.14,Polka Op.39 No.14,19
199,Rage In Joyful C,C大调欢乐拉格,C大調歡樂拉格,Rage In Joyful C,Rage In Joyful C,Ярость в радости C,Rage In Joyful C,Rage In Joyful C,Rage In Joyful C,Rage In Joyful C,Rage In Joyful C,Rage In Joyful C,الراج السعيد في سلم دو الكبير,Rage In Joyful C,Kemarahan di C major senang,29
200,Sonatina Op.36-2 Mvt.3,小奏鸣曲Op.36-2,小奏鳴曲Op.36-2,Sonatina Op.36-2 Mvt.3,Sonatina Op.36-2 Mvt.3,Сонатина Op.36-2 Mvt.3,Sonatina Op.36-2 Mvt.3,Sonatina Op.36-2 Mvt.3,소나티네 Op.36-2 Mvt.3,Sonatina Op.36-2 Mvt.3,Sonatina Op.36-2 Mvt.3,Sonatina Op.36-2 Mvt.3,السوناتينا Mvt.3 No.2 Op.36,Sonatina Op.36-2 Mvt.3,Sonatina Op.36-2 Mvt.3,27
201,Impromptu Op.142 No.3,即兴曲 Op.142 No.3,即興曲 Op.142 No.3,Impromptu Op.142 No.3,Impromptu Op.142 No.3,Экспромт Op.142 No.3,Impromptu Op.142 No.3,Impromptu Op.142 Nr.3,즉흥곡 Op.142 No.3,Impromptu Op.142 No.3,Impromptu Op.142 No.3,Impromptu Op.142 No.3,No.3 Op.142 ارتجال,Impromptu Op.142 No.3,Impromptu Op.142 No.3,18
202,Italian Song Op.39 No.15,意大利之歌,意大利之歌,Italian Song Op.39 No.15,Italian Song Op.39 No.15,Итальянская песня Op.39 No.15,Italian Song Op.39 No.15,Italian Song Op.39 Nr.15,이탈리안 송 Op.39 No.15,Italian Song Op.39 No.15,Italian Song Op.39 No.15,Italian Song Op.39 No.15,No.15 Op.39 أغنية إيطالية,Italian Song Op.39 No.15,Italian Song Op.39 No.15,25
203,Cabaletta Op.83,卡巴莱塔,卡巴萊塔,Cabaletta Op.83,Cabaletta Op.83,Кабалета Op.83,Cabaletta Op.83,Cabaletta Op.83,카발레타 Op.83,Cabaletta Op.83,Cabaletta Op.83,Cabaletta Op.83,Op.83 كاباليتا,Cabaletta Op.83,Cabaletta Op.83,14
204,Etude Op.25 No.9,练习曲 Op.25 No.9,練習曲 Op.25 No.9,Etude Op.25 No.9,Etude Op.25 No.9,Этюд Op.25 No.9,Etude Op.25 No.9,Etude Op.25 Nr.9,연습곡 Op.25 No.9,Etude Op.25 No.9,Etude Op.25 No.9,Etude Op.25 No.9,No.9 Op.25 القطعة الموسيقية,Etude Op.25 No.9,Etude Op.25 No.9,27
205,Tempo di Ballo,舞曲速度,舞曲速度,Tempo di Ballo,Tempo di Ballo,Время танцев,Tempo di Ballo,Tempo di Ballo,템포 디 발로,Tempo di Ballo,Tempo di Ballo,Tempo di Ballo,تيمبو دي بلو,Tempo di Ballo,Tempo di Ballo,12
206,A Breeze From Alabama,来自阿拉巴马的微风,來自阿拉巴馬的微風,A Breeze From Alabama,A Breeze From Alabama,Бриз из Алабамы,A Breeze From Alabama,A Breeze From Alabama,A Breeze From Alabama,A Breeze From Alabama,A Breeze From Alabama,A Breeze From Alabama,نسيم من ولاية ألاباما,A Breeze From Alabama,A Breeze From Alabama,
207,6 Ecossaises WoO 83,埃克萨斯舞曲,埃克薩斯舞曲,6 Ecossaises WoO 83,6 Ecossaises WoO 83,6 Ecossaises WoO 83,6 Ecossaises WoO 83,6 Ecossaises WoO 83,6개의 에코세즈 WoO 83,6 Ecossaises WoO 83,6 Ecossaises WoO 83,6 Ecossaises WoO 83,6 Ecossaises WoO 83,6 Ecossaises WoO 83,6 Ecossaises WoO 83,
208,Trompeter Op.33 No.2,小号手,小號手,Trompeter Op.33 No.2,Trompeter Op.33 No.2,Трубач Op.33 No.2,Trompeter Op.33 No.2,Trompeter Op.33 Nr.2,Trompeter Op.33 No.2,Trompeter Op.33 No.2,Trompeter Op.33 No.2,Trompeter Op.33 No.2,Trompeter Op.33 No.2,Trompeter Op.33 No.2,Trompeter Op.33 No.2,
209,Album-leaf Op.12 No.7,纪念册的一页,紀念冊的一頁,Album-leaf Op.12 No.7,Album-leaf Op.12 No.7,Album-leaf Op.12 No.7,Album-leaf Op.12 No.7,Album-leaf Op.12 Nr.7,Album-leaf Op.12 No.7,Album-leaf Op.12 No.7,Album-leaf Op.12 No.7,Album-leaf Op.12 No.7,No.7 Op.12 ألبوم ليف,Album-leaf Op.12 No.7,Album-leaf Op.12 No.7,
210,Sonatina Op.20 No.1 Mvt.2,小奏鸣曲 Op.20 No.1 第二章,小奏鳴曲 Op.20 No.1 第二章,Sonatina Op.20 No.1 Mvt.2,Sonatina Op.20 No.1 Mvt.2,Сонатина Op.20 No.1 Mvt.2,Sonatina Op.20 No.1 Mvt.2,Sonatina Op.20 Nr.1 Mvt.2,소나티네 Op.20 No.1 Mvt.2,Sonatina Op.20 No.1 Mvt.2,Sonatina Op.20 No.1 Mvt.2,Sonatina Op.20 No.1 Mvt.2,Mvt.2 No.1 Op.20 السوناتينا,Sonatina Op.20 No.1 Mvt.2,Sonatina Op.20 No.1 Mvt.2,
211,Sonata Hob.27 Mvt.3,G大调奏鸣曲 第三章,G大調奏鳴曲 第三章,Sonata Hob.27 Mvt.3,Sonata Hob.27 Mvt.3,Соната Hob.27 Mvt.3,Sonata Hob.27 Mvt.3,Sonata Hob.27 Mvt.3,소나타 Hob.27 Mvt.3,Sonata Hob.27 Mvt.3,Sonata Hob.27 Mvt.3,Sonata Hob.27 Mvt.3,Mvt.3 Hob.27 السوناتا,Sonata Hob.27 Mvt.3,Sonata Hob.27 Mvt.3,
212,Nocturne Op.55 No.1,f小调夜曲,f小調夜曲,Nocturne Op.55 No.1,Nocturne Op.55 No.1,Ноктюрн Оп. 55 № 1 От,Nocturne Op.55 No.1,Nocturne Op.55 No.1,녹턴Op.55 No.1,Nocturne Op.55 No.1,Nocturne Op.55 No.1,Nocturne Op.55 No.1,المقطوعة الهادئة Op.55 NO.1,Nocturne Op.55 No.1,Nocturne Op.55 No.1,
213,Sonatina Op.55 No.2 Mvt.3,小奏鸣曲 Op.55 No.2 第三章,小奏鳴曲 Op.55 No.2 第三章,Sonatina Op.55 No.2 Mvt.3,Sonatina Op.55 No.2 Mvt.3,Сонатина Op.55 No.2 Mvt.3,Sonatina Op.55 No.2 Mvt.3,Sonatina Op.55 Nr.2 Mvt.3,소나티네 Op.55 No.2 Mvt.3,Sonatina Op.55 No.2 Mvt.3,Sonatina Op.55 No.2 Mvt.3,Sonatina Op.55 No.2 Mvt.3,Mvt.3 No.2 Op.55 السوناتينا,Sonatina Op.55 No.2 Mvt.3,Sonatina Op.55 No.2 Mvt.3,
214,L'adieu Op.100 No.12,再会,再會,L'adieu Op.100 No.12,L'adieu Op.100 No.12,Прощальный Op.100 No.12,L'adieu Op.100 No.12,L'adieu Op.100 Nr.12,L'adieu Op.100 No.12,L'adieu Op.100 No.12,L'adieu Op.100 No.12,L'adieu Op.100 No.12,No.12 Op.100 الوداع,L'adieu Op.100 No.12,L'adieu Op.100 No.12,
215,Suite BWV 1009 Bourree,无伴奏大提琴组曲 BWV 1009,無伴奏大提琴組曲 BWV 1009,Suite BWV 1009 Bourree,Suite BWV 1009 Bourree,Suite BWV 1009 Bourree,Suite BWV 1009 Bourree,Suite BWV 1009 Bourree,Suite BWV 1009 Bourree,Suite BWV 1009 Bourree,Suite BWV 1009 Bourree,Suite BWV 1009 Bourree,Suite BWV 1009 Bourree,Suite BWV 1009 Bourree,Suite BWV 1009 Bourree,
216,Rondo Op.88 No.1 Mvt.3,回旋曲 Op.88 No.1 第三章,迴旋曲 Op.88 No.1 第三章,Rondo Op.88 No.1 Mvt.3,Rondo Op.88 No.1 Mvt.3,Рондо Op.88 No.1 Mvt.3,Rondo Op.88 No.1 Mvt.3,Rondo Op.88 Nr.1 Mvt.3,론도 Op.88 No.1 Mvt.3,Rondo Op.88 No.1 Mvt.3,Rondo Op.88 No.1 Mvt.3,Rondo Op.88 No.1 Mvt.3,Mvt.3 No.1 Op.88 الرندة,Rondo Op.88 No.1 Mvt.3,Rondo Op.88 No.1 Mvt.3,
217,Sonatina Op.36-2 Mvt.1,小奏鸣曲 Op.36-2 Mvt.1,小奏鳴曲 Op.36-2 Mvt.1,Sonatina Op.36-2 Mvt.1,Sonatina Op.36-2 Mvt.1,Сонатина Op.36-2 Mvt.1,Sonatina Op.36-2 Mvt.1,Sonatina Op.36-2 Mvt.1,소나티네 Op.36-2 Mvt.1,Sonatina Op.36-2 Mvt.1,Sonatina Op.36-2 Mvt.1,Sonatina Op.36-2 Mvt.1,Mvt.1 No.2 Op.36 السوناتينا,Sonatina Op.36-2 Mvt.1,Sonatina Op.36-2 Mvt.1,
218,Songs Without Words Op.19 No.2,无词歌 Op.19 No.2,無詞歌 Op.19 No.2,Songs Without Words Op.19 No.2,Songs Without Words Op.19 No.2,Песни без слов Op.19 No.2,Songs Without Words Op.19 No.2,Songs Without Words Op.19 Nr.2,무언가 Op.19 No.2,Songs Without Words Op.19 No.2,Songs Without Words Op.19 No.2,Songs Without Words Op.19 No.2,No.2 Op.19 أغاني بدون كلمات,Songs Without Words Op.19 No.2,Songs Without Words Op.19 No.2,
219,The Doll's Complaint,娃娃的抱怨,娃娃的抱怨,The Doll's Complaint,The Doll's Complaint,The Doll's Complaint,The Doll's Complaint,The Doll's Complaint,"인형의 불평",The Doll's Complaint,The Doll's Complaint,The Doll's Complaint,شكوى من الدمية,The Doll's Complaint,The Doll's Complaint,
220,La Chevaleresque,骑士风格,騎士風格,La Chevaleresque,La Chevaleresque,Рыцарский,La Chevaleresque,La Chevaleresque,승마,La Chevaleresque,La Chevaleresque,La Chevaleresque,لا شفلرصق,La Chevaleresque,La Chevaleresque,
221,Waltz Op.69 No.2,圆舞曲 Op.69 No.2,圓舞曲 Op.69 No.2,Waltz Op.69 No.2,Waltz Op.69 No.2,Вальс Op.69 No.2,Waltz Op.69 No.2,Waltz Op.69 Nr.2,Waltz Op.69 No.2,Waltz Op.69 No.2,Waltz Op.69 No.2,Waltz Op.69 No.2,No.2 Op.69 الفالس,Waltz Op.69 No.2,Waltz Op.69 No.2,
222,Walzer Op.12 No.2,华尔兹 Op.12 No.2,華爾茲 Op.12 No.2,Walzer Op.12 No.2,Walzer Op.12 No.2,Вальзер Op.12 No.2,Walzer Op.12 No.2,Waltz Op.12 Nr.2,Walzer Op.12 No.2,Walzer Op.12 No.2,Walzer Op.12 No.2,Walzer Op.12 No.2,No.2 Op.12 الفالس,Walzer Op.12 No.2,Walzer Op.12 No.2,
223,Spring Song,春之歌,春之歌,Spring Song,Spring Song,Весенняя песня,Spring Song,Spring Song,Spring Song,Spring Song,Spring Song,Spring Song,أغنية الربيع,İlkbahar Şarkısı,Spring Song,
224,Melody in F Op.3 No.1,F大调旋律,F大調旋律,Melody in F Op.3 No.1,Melody in F Op.3 No.1,Melody in F Op.3 No.1,Melody in F Op.3 No.1,Melodie in F Op.3 Nr.1,멜로디 F장조 Op.3 No.1,Melody in F Op.3 No.1,Melody in F Op.3 No.1,Melody in F Op.3 No.1,No.1 Op.3 لحن في سلم فا,Melody in F Op.3 No.1,Melody in F Op.3 No.1,
225,Dance Of The Hours,时辰之舞,時辰之舞,Dance Of The Hours,Dance Of The Hours,Танец часов,Dance Of The Hours,Tanz der Stunden,시간의 춤,Dance Of The Hours,Dance Of The Hours,Dance Of The Hours,رقصة الساعات,Saatler Dansı,Dance Of The Hours,
226,Polonaise in A Flat Major B.5,降A大调波兰舞曲,降A大調波蘭舞曲,Polonaise in A Flat Major B.5,Polonaise in A Flat Major B.5,Полонез ля-бемоль мажор В.5,Polonaise in A Flat Major B.5,Polonaise in A Flat Major B.5,폴로네즈 A♭장조 B.5,Polonaise in A Flat Major B.5,Polonaise in A Flat Major B.5,Polonaise in A Flat Major B.5,Polonaise in A Flat Major B.5,Polonaise in A Flat Major B.5,Polonaise in A Flat Major B.5,
227,Sonata in F Major Hob.23 Mvt.1,F大调奏鸣曲 第一章,F大調奏鳴曲 第一章,Sonata in F Major Hob.23 Mvt.1,Sonata in F Major Hob.23 Mvt.1,Соната Фа мажор Hob.23 Mvt.1,Sonata in F Major Hob.23 Mvt.1,Sonata in F Major Hob.23 Mvt.1,소나타 F장조 Hob.23 Mvt.1,Sonata in F Major Hob.23 Mvt.1,Sonata in F Major Hob.23 Mvt.1,Sonata in F Major Hob.23 Mvt.1,Hob.23سوناتا في سلم فا الكبير,Sonata in F Major Hob.23 Mvt.1,Sonata in F Major Hob.23 Mvt.1,
228,Walzer Op.325,维也纳森林的故事,維也納森林的故事,Walzer Op.325,Walzer Op.325,Вальзер Op.325,Walzer Op.325,Walzer Op.325,Walzer Op.325,Walzer Op.325,Walzer Op.325,Walzer Op.325,Op.325 الفالس,Walzer Op.325,Walzer Op.325,
229,Valse Brillante Op.34 No.1,圆舞曲 Op.34 No.1,圓舞曲 Op.34 No.1,Valse Brillante Op.34 No.1,Valse Brillante Op.34 No.1,Вальс Брильянте Op.34 No.1,Valse Brillante Op.34 No.1,Valse Brillante Op.34 Nr.1,화려한 대왈츠 Op.34 No.1,Valse Brillante Op.34 No.1,Valse Brillante Op.34 No.1,Valse Brillante Op.34 No.1,No.1 Op.34 الفالس البريلانتي,Valse Brillante Op.34 No.1,Valse Brillante Op.34 No.1,
230,Le Petit Rien,小空话,小空話,Le Petit Rien,Le Petit Rien,Ле Пти Риэн,Le Petit Rien,Le Petit Rien,Le Petit Rien,Le Petit Rien,Le Petit Rien,Le Petit Rien,لو بوتي رين,Le Petit Rien,Le Petit Rien,
